# ----------------------------------------
# Landing Pages Organic Search
# Account: Trial Interactive
# Property: Trial Interactive - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20260101
# End date: 20260601
Landing page + query string,Sessions,Total users,Key events,Session key event rate
/blog/mobile-etmf-pain-yesterday-relief-today,1,1,0,0
/blog/overview-tmf-oversight-part-1-keeping-eye-your-vendors,1,1,0,0
/blog/overview-tmf-oversight-part-2-vendor-oversight-checklist,1,1,0,0
/blog/reality-long-term-system-integrations-life-sciences,1,1,0,0
/blog/road-tmf-success,1,1,0,0
/blog/say-yes-mobile-first-ctms,1,1,0,0
/blog/strengthening-backbone-clinical-trials-tmf-digital-world,1,1,0,0
/blog/takeaways-optimize,1,1,0,0
/blog/three-key-considerations-clinical-api-oversight,1,1,0,0
/blog/tmf-quality,1,1,0,0
/blog/tmf-trifecta-finding-balance-era-constant-change,1,1,0,0
/blog/what-your-monitoring-reports-are-already-telling-you-and-why-no-one-listening,1,1,0,0
/blog/whats-new-ema-draft-guideline-gcp-compliant-trial-master-file,1,1,0,0
/c3-study-session-tmf-study-owners,1,1,0,0
/clinical-content-management,1,1,0,0
/clinical-trial-management-system,1,1,0,0
/clinicaloperations,1,1,0,0
/ctms-demo-request,1,1,0,0
/eClinical-platform-overview,1,1,0,0
/etmf-migration,1,1,1,1
/etmf-tmf-solutions/tmf-inspection-readiness/tmf-staffing-solutions/404,1,1,0,0
/event/data-interoperability-enablement-adopting-end-end-clinical-systems-apac,1,1,0,0
/event/de-los-informes-de-monitorizacion-la-preparacion-para-inspecciones-como-identificar-hallazgos,1,1,0,0
/event/ich-e6r3-tmf-oversight-best-practices-ensuring-compliance-and-quality,1,1,0,0
/event/optimize-tmf-roadshow-dublin,1,1,0,0
/events?event-type=105,1,1,0,0
/events?event-type=107,1,1,0,0
/how-protas-revolutionizes-clinical-trials-common-diseases-100-site-adoption-digital-documentation,1,1,0,0
/ich-e6r3-and-mhra-guidance-what-it-means-tmf,1,1,0,0
/ich-e6r3-and-mhra-guidance-what-it-means-tmf/1024,1,1,0,0
/informationtechnology,1,1,0,0
/investigative-site-training,1,1,0,0
/news/gedeon-richter-selects-trial-interactive-clinical-trial-management,1,1,0,0
/news/transperfect-life-sciences-acquires-lmk-clinical-research-consulting,1,1,0,0
/news/transperfect-life-sciences-introduces-trial-interactive-ctms-solution,1,1,0,0
/news/transperfect-opens-new-facility-philadelphia,1,1,0,0
/node/647,1,1,0,0
/node/836,1,1,0,0
/optimize-2025-highlights,1,1,0,0
/quality-record-training-management,1,1,0,0
/regulatory,1,1,0,0
/services/validation,1,1,0,0
/site-solutions,1,1,0,0
/study-records-collaboration,1,1,0,0
/study-team-training,1,1,0,0
/surfacing-your-ctms-and-etmf-using-ai,1,1,0,0
/surfacing-your-ctms-and-etmf-using-ai/950,1,1,0,0
/taxonomy/term/17,1,1,0,0
/thought-leadership-confirmation,1,1,3,1
/thought-leadership/15-ways-avoid-inspection-findings-checklist,1,1,0,0
/thought-leadership/ask-an-expert-tmf-office-hours/679,1,1,0,0
/thought-leadership/beyond-surface-level-ai-deep-inspection-etmf-records-quality-compliance/949,1,1,0,0
/thought-leadership/cdisc-tmf-europe-interchange-key-takeaways-and-insights/839,1,1,0,0
/thought-leadership/correlation-between-patient-reported-outcomes-and-clinical-reported-outcomes-resource,1,1,0,0
/thought-leadership/essential-checklist-etmf-archiving,1,1,0,0
/thought-leadership/heres-your-etmf-health-resource,1,1,0,0
/thought-leadership/how-optimize-tmf-processing/892,1,1,0,0
/thought-leadership/ich-e6r3-and-mhra-guidance-what-it-means-tmf/1023,1,1,0,0
/thought-leadership/ich-e6r3-tmf-oversight-best-practices-ensuring-compliance-and-quality,1,1,0,0
/thought-leadership/journey-tmf-rescue/800,1,1,0,0
/thought-leadership/standardizing-clinical-trial-document-management-etmf-and-eisf-lite,1,1,0,0
/thought-leadership/surfacing-your-ctms-and-etmf-using-ai,1,1,0,0
/thought-leadership/tmf-services-buyers-guide-resource,1,1,0,0
/thought-leadership/trial-documentation-and-process-impact-ctms/751,1,1,0,0
/thought-leadership/webinar-eisf-101/878,1,1,0,0
/ti10.5,1,1,0,0
/tmf-record-services-scanning-processing-archiving-trial-interactive-2,1,1,0,0
/webinar/trust-the-process/episode1,1,1,0,0
/webinar/trust-the-process/tmfculture,1,1,0,0
